COUNTRY,GENERATION,COUNT
Italy,1,11
France,1,18
Cyprus,1,1
Poland,1,5
Ukraine,1,0
Ukraine,2,1
Italy,2,12
France,2,16
Poland,2,6
Cyprus,2,1
Poland,3,8
France,3,5
Italy,3,5
Cyprus,3,1
Ukraine,3,0
Poland,4,5
France,4,12
Italy,4,9
Cyprus,4,1
Ukraine,4,0
